date,prec,tmax,tmin
196401,176,27.9,14.9
196402,71,29.8,15.6
196403,58,29.3,15.1
196404,28,25.3,10.1
196405,6,22.4,5.2
196406,5,18,0.1
196407,0,18.6,-0.1
196408,3,22.3,4.6
196409,14,27.2,9.8
196410,157,25.1,12.6
196411,33,27.5,13.5
196412,173,25.9,13.9
196501,59,27.7,14.9
196502,55,29.8,14.8
196503,23,28.1,13.2
196504,93,23.5,9.7
196505,8,22.8,5.3
196506,0,18.2,0.6
196507,10,20,2.4
196508,1,24.2,6.2
196509,3,26.3,9.1
196510,16,26.7,9.8
196511,65,27.1,13.9
196512,81,29.9,15.3
196601,114,29.8,16.8
196602,95,26.1,15
196603,22,28.1,12.9
196604,24,24.1,9.4
196605,16,22.8,5.5
196606,4,20.5,3.8
196607,0,20.8,2.4
196608,2,23.6,4.7
196609,12,25.6,8.6
196610,136,27.3,12.5
196611,101,28.1,14
196612,191,27,15.2
196701,192,27,15.4
196702,93,25.2,14.4
196703,145,25.6,12.6
196704,91,22.2,10.5
196705,14,21.6,5.9
196706,0,18.7,2
196707,1,18.1,0.8
196708,27,21.3,4.2
196709,5,26.6,9.2
196710,55,27.5,12.2
196711,102,26.7,13.7
196712,88,27.8,14.3
196801,103,29.6,15.2
196802,44,28.7,14.1
196803,134,24.1,13.1
196804,72,22.4,8.5
196805,22,20.3,5.9
196806,1,17.1,-0.3
196807,0,21.3,3.4
196808,10,23,6
196809,1,26.5,8.9
196810,23,28.8,12.4
196811,92,25.2,11.9
196812,95,28.3,15.6
196901,63,30.8,16.1
196902,91,29.3,16.4
196903,174,25.1,13.8
196904,46,24.4,10.5
196905,57,20.7,5.9
196906,0,20.2,3.4
196907,1,20.8,3.4
196908,2,23.1,4.9
196909,26,25.9,8.6
196910,131,25.1,12.1
196911,98,27.2,13.3
196912,191,26.7,14.3
197001,81,28.8,15.8
197002,64,27.3,14.2
197003,32,28.1,13.1
197004,28,25.9,9.5
197005,18,22.9,5.8
197006,3,19.7,3.1
197007,3,20.7,3.1
197008,4,24.3,5.7
197009,27,27.6,9.9
197010,92,27.1,11.6
197011,67,28.3,14.2
197012,114,27.4,14.7
197101,168,26.4,15.4
197102,82,25.9,14.2
197103,91,27.6,13.6
197104,130,25,10.7
197105,15,20.8,5.4
197106,16,19.9,3
197107,0,19.9,2.8
197108,0,23.2,4.3
197109,40,26.8,10.6
197110,54,26.1,11.6
197111,167,26,12.4
197112,123,27.2,14.2
197201,203,26.1,15.2
197202,41,27.5,13.9
197203,63,24.8,13.6
197204,17,25,10.2
197205,8,21.6,5.1
197206,1,19.8,1.3
197207,0,20.7,2.5
197208,7,23.5,4.5
197209,13,27.6,9
197210,71,28.5,13.4
197211,130,27.4,13.1
197212,68,30.7,16.2
197301,130,30.4,16.4
197302,34,27.1,14.9
197303,105,28.8,15.7
197304,79,22.7,9.6
197305,0,22.4,6
197306,0,20.6,3
197307,0,20.5,2.5
