year,prec,tmax,tmin,tmean,temp_range,tmin_ma10,tmax_ma10
1964,724,24.941666666666666,9.608333333333333,17.275000000000002,15.333333333333334,,
1965,414,25.358333333333334,9.6,17.479166666666668,15.758333333333333,,
1966,717,25.316666666666666,10.066666666666666,17.691666666666666,15.25,,
1967,813,24.025000000000002,9.6,16.8125,14.424999999999999,,
1968,597,24.608333333333334,9.558333333333334,17.083333333333332,15.049999999999999,,
1969,880,24.941666666666666,10.225,17.583333333333332,14.716666666666667,9.845833333333333,24.973333333333336
1970,533,25.675,10.058333333333334,17.866666666666667,15.616666666666667,9.855,24.9025
1971,886,24.566666666666666,9.85,17.208333333333332,14.716666666666667,9.875833333333334,24.806666666666665
1972,622,25.266666666666666,9.833333333333334,17.55,15.433333333333332,9.823333333333332,24.673333333333332
1973,745,25.03333333333333,10.058333333333334,17.545833333333334,14.975000000000001,9.876666666666667,24.78333333333333
1974,734,24.233333333333334,9.700000000000001,16.966666666666665,14.533333333333331,9.940833333333334,24.809166666666666
1975,956,24.400000000000002,9.808333333333334,17.104166666666668,14.591666666666667,9.966666666666667,24.845000000000002
1976,864,23.983333333333334,9.541666666666666,16.7625,14.441666666666668,9.921666666666667,24.746666666666666
1977,654,25.125,10.133333333333333,17.629166666666666,14.991666666666667,9.895,24.72
1978,723,24.866666666666664,10.200000000000001,17.533333333333335,14.666666666666666,9.930833333333334,24.746666666666666
1979,617,25.3,10.483333333333333,17.891666666666666,14.816666666666668,10.020833333333334,24.846666666666668
1980,718,24.691666666666666,9.608333333333333,17.150000000000002,15.083333333333334,10.108333333333334,24.993333333333332
1981,606,24.3,9.583333333333334,16.941666666666666,14.716666666666667,10.193333333333333,25.131666666666668
1982,606,25.53333333333333,10.191666666666666,17.8625,15.341666666666667,10.312500000000002,25.29
1983,677,26.03333333333333,10.958333333333334,18.495833333333334,15.075000000000001,10.389166666666666,25.325833333333332
1984,465,25.7,10.575000000000001,18.1375,15.125,10.419166666666666,25.340833333333332
1985,695,25.78333333333333,10.658333333333333,18.220833333333335,15.125,10.401666666666667,25.264166666666664
1986,678,25.566666666666666,10.733333333333334,18.150000000000002,14.833333333333334,10.484166666666667,25.329166666666666
1987,727,25.483333333333334,10.9,18.191666666666666,14.583333333333334,10.571666666666667,25.4225
1988,614,25.016666666666666,10.5,17.758333333333333,14.516666666666666,10.646666666666667,25.545833333333334
1989,768,24.53333333333333,10.308333333333334,17.420833333333334,14.225,10.645,25.51666666666667
1990,570,25.34166666666667,10.433333333333334,17.8875,14.908333333333333,10.561666666666666,25.4375
1991,674,25.233333333333334,10.458333333333334,17.845833333333335,14.774999999999999,10.574166666666667,25.398333333333333
1992,428,26.766666666666666,10.941666666666668,18.854166666666668,15.825000000000001,10.555833333333334,25.277499999999996
1993,741,25.741666666666664,10.941666666666668,18.341666666666665,14.799999999999999,10.530000000000001,25.197499999999998
1994,726,24.90833333333333,9.741666666666667,17.325,15.166666666666666,10.575000000000001,25.2825
1995,877,25.391666666666666,10.783333333333333,18.087500000000002,14.608333333333334,10.6125,25.398333333333333
1996,842,24.358333333333334,10.549999999999999,17.454166666666666,13.808333333333335,10.584166666666667,25.2575
1997,785,24.683333333333334,10.641666666666667,17.662499999999998,14.041666666666666,10.579166666666667,25.22416666666667
1998,676,25.866666666666664,10.950000000000001,18.408333333333335,14.916666666666666,10.504166666666666,25.13
1999,476,25.691666666666666,10.683333333333332,18.1875,15.008333333333333,10.450833333333332,25.2125
2000,1134,23.933333333333334,10.15,17.041666666666668,13.783333333333333,10.555833333333334,25.335
2001,699,24.900000000000002,10.408333333333333,17.654166666666665,14.491666666666667,10.594166666666668,25.476666666666667
2002,516,25.825,10.191666666666666,18.008333333333333,15.633333333333333,10.600833333333332,25.57916666666667
2003,508,26.566666666666666,10.408333333333333,18.4875,16.15833333333333,10.594999999999999,25.748333333333335
2004,748,26.133333333333336,10.791666666666666,18.4625,15.341666666666669,10.583333333333332,25.799166666666668
2005,535,26.808333333333334,11.166666666666666,18.9875,15.641666666666667,10.572500000000002,25.824166666666667
2006,738,25.383333333333336,10.616666666666667,18.0,14.766666666666666,10.634166666666667,26.0725
2007,506,26.375,10.583333333333334,18.479166666666668,15.791666666666666,10.634166666666667,26.199166666666667
2008,589,26.375,10.833333333333334,18.604166666666668,15.541666666666666,10.630833333333333,26.303333333333335
2009,851,25.941666666666666,10.575000000000001,18.258333333333333,15.366666666666667,10.583333333333334,26.336666666666666
2010,648,26.416666666666668,10.766666666666666,18.591666666666665,15.65,10.545833333333333,26.34166666666667
2011,692,26.166666666666668,10.408333333333333,18.2875,15.758333333333333,10.488333333333333,26.388333333333332
